tracker_id,solo_Wins,solo_HeadshotKillsPg
4405,0.028302,0.047273
8199,0.056604,0.092364
4454,0,0.043636
7729,0.037736,0.036364
0,0.018868,0.109091
33313,0.04717,0.050182
15585,0.113208,0.046545
9454,0.04717,0.049455
24029,0.056604,0.074182
11289,0.018868,0.036364
142394,0.066038,0.058909
16256,0.037736,0.017455
142401,0.084906,0.074909
46547,0.037736,0.036364
4486,0.028302,0.082182
6931,0.009434,0.048727
3833,0.358491,0.036364
4404,0.113208,0.087273
19925,0.056604,0.122909
6455,0.018868,0.042182
11729,0.066038,0.071273
196013,0.037736,0.056727
29218,0.028302,0.064727
8040,0.018868,0.057455
43458,0.45283,0.074182
7513,0.59434,0.066182
9142,0.037736,0.032727
6180,0.028302,0.029091
212886,0.028302,0.032727
51329,0.018868,0.016727
5118,0.018868,0.022545
108625,0.018868,0.033455
85012,0.415094,0.051636
6603,0.037736,0.043636
131513,0.037736,0.066182
162887,0.028302,0.058182
200738,0.075472,0.144
196291,0.04717,0.023273
6108,0.018868,0.076364
84821,0.028302,0.056
9339,0.462264,0.071273
150672,0.037736,0.154182
7997,0.018868,0.100364
72040,0.037736,0.015273
152251,0.056604,0.070545
8993,0.04717,0.030545
142407,0.075472,0.058182
10410,0.018868,0.090909
7363,0.028302,0.048727
4096,0.028302,0.023273
7520,0.40566,0.035636
11600,0.037736,0.052364
8195,0.075472,0.058182
21602,0.396226,0.021091
12066,0.018868,0.064727
13518,0.009434,0.046545
91273,0.132075,0.030545
12845,0.018868,0.096727
4119,0.301887,0.043636
119501,0.009434,0.181818
176602,0.5,0.020364
7918,0.028302,0.058182
46576,0.018868,0.083636
6491,0.028302,0.032727
16995,0.066038,0.043636
11913,0.018868,0.042182
151480,0.471698,0.042182
5112,0,0.090909
42572,0.056604,0.018909
149581,0.018868,0.133091
182032,0.132075,0.061818
135262,0.009434,0.043636
25386,0.009434,0.058909
4455,0.018868,0.096727
27789,0.066038,0.085818
31408,0.009434,0.042909
142395,0.226415,0.033455
33012,0.028302,0.016
8313,0.084906,0.049455
42246,0.018868,0.018182
14234,0.490566,0.024
18360,0.009434,0.072727
101689,0.028302,0.095273
182398,0,0
8030,0.056604,0.029818
127596,0.066038,0.026909
212903,0.037736,0.029091
12710,0.037736,0.072727
14350,0.254717,0.008727
28396,0.018868,0.044364
7410,0.028302,0.055273
4043,0.009434,0.006545
6985,0.141509,0.053818
23614,0.443396,0.029091
11690,0.698113,0.04
6042,0.028302,0.032727
22188,0.179245,0.045091
2260,0,0
9346,0.018868,0.048727
7857,0,0
196309,0.018868,0.041455
