tracker_id,solo_Kills,solo_RideDistance
4405,0.007955,0.006129
8199,0.021515,0.026227
4454,0.003254,0.00171
7729,0.010125,0.006747
0,0.007594,0.004991
33313,0.01139,0.013432
15585,0.057494,0.104501
9454,0.00687,0.015892
24029,0.025312,0.021996
11289,0.00452,0.001699
142394,0.061472,0.025377
16256,0.071596,0.084361
142401,0.062918,0.065459
46547,0.032001,0.035016
4486,0.013018,0.013863
6931,0.001808,0.0016
3833,0.07684,0.207347
4404,0.048454,0.061361
19925,0.011933,0.009294
6455,0.019346,0.021294
11729,0.036883,0.01831
196013,0.018803,0.025879
29218,0.005605,0.007621
8040,0.007774,0.004357
43458,0.187127,0.290187
7513,0.188573,0.250941
9142,0.028024,0.027666
6180,0.021153,0.032419
212886,0.019165,0.015541
51329,0.008317,0.015924
5118,0.00687,0.009744
108625,0.012114,0.006243
85012,0.122582,0.206476
6603,0.0226,0.013721
131513,0.010125,0.012561
162887,0.032725,0.011499
200738,0.041765,0.006832
196291,0.041403,0.030619
6108,0.014283,0.014213
84821,0.015368,0.019746
9339,0.173748,0.290743
150672,0.007774,0.005136
7997,0.003978,0.005555
72040,0.018261,0.034279
152251,0.022961,0.02393
8993,0.051528,0.034492
142407,0.033448,0.0521
10410,0.005966,0.002556
7363,0.010667,0.009256
4096,0.011752,0.010355
7520,0.118423,0.338483
11600,0.020611,0.010343
8195,0.032182,0.022556
21602,0.113361,0.302961
12066,0.009582,0.015421
13518,0.002712,0.007082
91273,0.046104,0.159802
12845,0.001808,0.003773
4119,0.069065,0.163625
119501,0.001808,0.001405
176602,0.16977,0.602844
7918,0.010848,0.014352
46576,0.008136,0.007737
6491,0.01573,0.010416
16995,0.034352,0.042044
11913,0.019165,0.012777
151480,0.122039,0.209409
5112,0.004158,0.001953
42572,0.024227,0.050096
149581,0.008136,0.006296
182032,0.0725,0.033496
135262,0.010306,0.00412
25386,0.014102,0.010835
4455,0.007413,0.002435
27789,0.037968,0.016515
31408,0.014464,0.015716
142395,0.096908,0.126117
33012,0.015187,0.021234
8313,0.029651,0.029698
42246,0.019346,0.043277
14234,0.095824,0.302952
18360,0.00235,0.003983
101689,0.01139,0.012249
182398,0,0
8030,0.023685,0.038783
127596,0.033448,0.089551
212903,0.054059,0.043168
12710,0.008859,0.00258
14350,0.059302,0.679124
28396,0.009763,0.005053
7410,0.01356,0.009719
4043,0.005243,0.007103
6985,0.073404,0.028632
23614,0.116254,0.264659
11690,0.214789,0.284975
6042,0.008678,0.005862
22188,0.096004,0.114911
2260,0,0.000839
9346,0.005605,0.007916
7857,0.000904,0.0002
196309,0.013741,0.005722
142404,0.032182,0.019151
14352,0.239197,0.210252
64263,0.032725,0.028983
4040,0.019888,0.011456
33415,0.050262,0.035067
13504,0.005243,0.005488
176657,0.005062,0.007765
143358,0.009944,0.004977
18504,0.018803,0.02956
8092,0.00687,0.015426
2627,0.010486,0.0083
76622,0.098716,0.094105
196304,0.026035,0.011567
23567,0.048635,0.094706
6661,0.001266,0.001313
12919,0.009402,0.004572
8772,0.019165,0.030332
156994,0.02025,0.024692
142397,0.023504,0.020078
6929,0.011571,0.030497
15776,0.217321,0.244391
157609,0.223468,0.068355
108162,0.002531,0.004616
21987,0.009221,0.002866
21579,0.135599,0.432678
44680,0.037606,0.033649
24383,0.010486,0.010256
71471,0.187669,0.207011
7706,0.030013,0.058707
34667,0.038149,0.074556
6271,0.003074,0.001299
9598,0.075574,0.334857
8659,0.004158,0.009092
7299,0.023504,0.015711
44335,0.003074,0.000945
7093,0.043573,0.019596
9344,0.012656,0.031608
11990,0.015368,0.011597
14074,0.011752,0.002813
16495,0.011752,0.007694
142406,0.022781,0.025264
12503,0.022057,0.033775
52504,0.028747,0.047982
63812,0.016995,0.023804
9087,0.060749,0.158137
39,0.182065,0.378471
178989,0.024769,0.021585
196312,0.039233,0.027181
18631,0.005243,0.002368
52215,0.071416,0.099319
64014,0.12222,0.254283
17946,0.00452,0.006612
156999,0.025673,0.031806
116132,0.167239,0.197386
79630,0.264148,0.248079
89183,0.125655,0.058998
14937,0.146809,0.270955
24109,0.037245,0.142852
7496,0.01356,0.02166
16094,0.015549,0.007002
11374,0.001989,0.003126
6110,0.192732,0.645356
54506,0.045742,0.077094
16147,0.01591,0.029121
2265,0.015368,0.025702
28749,0.00669,0.003682
9211,0.056952,0.059256
3592,0.021877,0.014886
129560,0.074489,0.290014
24842,0.000542,0.003492
154045,0.016995,0.025017
48,0.003435,0.00357
39157,0.124751,0.612998
142602,0.026035,0.01475
62095,0.00904,0.011449
33298,0.026939,0.008908
150167,0.07467,0.132713
8111,0.107756,0.166641
8907,0.01808,0.007003
93950,0.015187,0.018632
