tracker_id,solo_Kills,solo_WalkDistance
4405,0.007955,0.011768
8199,0.021515,0.019476
4454,0.003254,0.00258
7729,0.010125,0.007152
0,0.007594,0.006809
33313,0.01139,0.01263
15585,0.057494,0.081823
9454,0.00687,0.009818
24029,0.025312,0.027121
11289,0.00452,0.009622
142394,0.061472,0.089432
16256,0.071596,0.127387
142401,0.062918,0.069735
46547,0.032001,0.036887
4486,0.013018,0.019851
6931,0.001808,0.001156
3833,0.07684,0.113508
4404,0.048454,0.040704
19925,0.011933,0.014074
6455,0.019346,0.026249
11729,0.036883,0.036242
196013,0.018803,0.024776
29218,0.005605,0.007107
8040,0.007774,0.010231
43458,0.187127,0.152447
7513,0.188573,0.17825
9142,0.028024,0.047161
6180,0.021153,0.033301
212886,0.019165,0.027438
51329,0.008317,0.011781
5118,0.00687,0.010253
108625,0.012114,0.013623
85012,0.122582,0.229011
6603,0.0226,0.02426
131513,0.010125,0.007877
162887,0.032725,0.023689
200738,0.041765,0.038832
196291,0.041403,0.059582
6108,0.014283,0.013675
84821,0.015368,0.029917
9339,0.173748,0.157118
150672,0.007774,0.005831
7997,0.003978,0.003691
72040,0.018261,0.025209
152251,0.022961,0.029919
8993,0.051528,0.057385
142407,0.033448,0.067539
10410,0.005966,0.004821
7363,0.010667,0.014715
4096,0.011752,0.016079
7520,0.118423,0.193308
11600,0.020611,0.025094
8195,0.032182,0.033608
21602,0.113361,0.230368
12066,0.009582,0.012127
13518,0.002712,0.005219
91273,0.046104,0.057983
12845,0.001808,0.002098
4119,0.069065,0.100577
119501,0.001808,0.002764
176602,0.16977,0.39148
7918,0.010848,0.011076
46576,0.008136,0.008729
6491,0.01573,0.016158
16995,0.034352,0.057396
11913,0.019165,0.023411
151480,0.122039,0.223849
5112,0.004158,0.003617
42572,0.024227,0.046531
149581,0.008136,0.004838
182032,0.0725,0.068198
135262,0.010306,0.008187
25386,0.014102,0.014053
4455,0.007413,0.00596
27789,0.037968,0.045532
31408,0.014464,0.028288
142395,0.096908,0.172851
33012,0.015187,0.034245
8313,0.029651,0.029882
42246,0.019346,0.044683
14234,0.095824,0.235181
18360,0.00235,0.003521
101689,0.01139,0.011894
182398,0,0
8030,0.023685,0.034378
127596,0.033448,0.065416
212903,0.054059,0.095252
12710,0.008859,0.00658
14350,0.059302,0.19953
28396,0.009763,0.013295
7410,0.01356,0.021605
4043,0.005243,0.012025
6985,0.073404,0.091125
23614,0.116254,0.215542
11690,0.214789,0.269941
6042,0.008678,0.008323
22188,0.096004,0.13853
2260,0,0.00036
9346,0.005605,0.008647
7857,0.000904,0.001566
196309,0.013741,0.010678
142404,0.032182,0.020504
14352,0.239197,0.190377
64263,0.032725,0.031844
4040,0.019888,0.014935
33415,0.050262,0.106779
13504,0.005243,0.008679
176657,0.005062,0.007048
143358,0.009944,0.01057
18504,0.018803,0.027931
8092,0.00687,0.012111
2627,0.010486,0.004396
76622,0.098716,0.089891
196304,0.026035,0.039241
23567,0.048635,0.072101
6661,0.001266,0.00083
12919,0.009402,0.012509
8772,0.019165,0.021028
156994,0.02025,0.023889
142397,0.023504,0.033905
6929,0.011571,0.018567
15776,0.217321,0.329127
157609,0.223468,0.15878
108162,0.002531,0.002607
21987,0.009221,0.016879
21579,0.135599,0.254048
44680,0.037606,0.054512
24383,0.010486,0.012404
71471,0.187669,0.228372
7706,0.030013,0.038939
34667,0.038149,0.060977
6271,0.003074,0.00326
9598,0.075574,0.126864
8659,0.004158,0.00665
7299,0.023504,0.022518
44335,0.003074,0.002392
7093,0.043573,0.032345
9344,0.012656,0.022796
11990,0.015368,0.023604
14074,0.011752,0.012875
16495,0.011752,0.016546
142406,0.022781,0.035825
12503,0.022057,0.039619
52504,0.028747,0.043058
63812,0.016995,0.045097
9087,0.060749,0.108565
39,0.182065,0.099282
178989,0.024769,0.055823
196312,0.039233,0.046779
18631,0.005243,0.012527
52215,0.071416,0.082005
64014,0.12222,0.179865
17946,0.00452,0.003381
156999,0.025673,0.04462
116132,0.167239,0.222407
79630,0.264148,0.588677
89183,0.125655,0.077599
14937,0.146809,0.355879
24109,0.037245,0.079676
7496,0.01356,0.022453
16094,0.015549,0.018469
11374,0.001989,0.002593
6110,0.192732,0.291267
54506,0.045742,0.079918
16147,0.01591,0.026717
2265,0.015368,0.021219
28749,0.00669,0.005564
9211,0.056952,0.083987
3592,0.021877,0.026124
129560,0.074489,0.236601
24842,0.000542,0.001589
154045,0.016995,0.019531
48,0.003435,0.003076
39157,0.124751,0.337129
142602,0.026035,0.038087
62095,0.00904,0.013181
33298,0.026939,0.026196
150167,0.07467,0.106538
8111,0.107756,0.145816
8907,0.01808,0.021199
93950,0.015187,0.018112
18421,0.013379,0.017238
103121,0.136323,0.203303
109146,0.047189,0.086863
11387,0.021877,0.039171
2227,0.038329,0.03109
142396,0.033086,0.032688
39732,0.018984,0.028834
104711,0.00235,0.003671
3657,0.016091,0.028522
176763,0.020069,0.018404
8004,0.001808,0.001172
16530,0.031821,0.04702
38807,0.044296,0.068287
63564,0.144639,0.131311
54274,0.129633,0.296083
14690,0.037606,0.043347
91893,0.064364,0.172522
142409,0.013018,0.023208
50626,0.034352,0.054455
16238,0.014826,0.027763
7876,0.039776,0.067088
24021,0.288375,0.44803
54653,0.016453,0.041368
9984,0.005786,0.008217
23797,0.022057,0.042305
12853,0.029651,0.038197
212,0.034171,0.045849
24381,0.011933,0.03939
20542,0.021515,0.01622
6273,0.017718,0.019842
21988,0.090942,0.101768
14880,0.054782,0.121746
13718,0.010306,0.016563
4348,0.035075,0.047245
44153,0.021877,0.045872
5113,0.034352,0.062601
15984,0.007051,0.003771
165270,0.002893,0.003983
9872,0.026939,0.343191
117538,0.043573,0.118154
6949,0.01591,0.029636
40134,0.04755,0.059311
2087,0.017899,0.014954
20069,0.008317,0.010758
33380,0.011029,0.041588
106726,0.310432,0.425008
48858,0.021696,0.050019
153755,0.010848,0.013837
21174,0.120412,0.185795
60950,0.010486,0.014925
8017,0.012294,0.021631
9985,0.020069,0.029052
34662,0.065268,0.123922
68696,0.008136,0.020831
94388,0.041945,0.041767
89550,0.088049,0.177979
70341,0.095462,0.062345
45119,0.00904,0.012592
26687,0.013741,0.011369
18634,0.071054,0.201079
6403,0.012114,0.015363
8013,0.016091,0.021072
14147,0.027481,0.016051
70803,0,0.000642
155846,0.054421,0.103755
70251,0.044477,0.092361
13863,0.001627,0.002174
12170,0.009944,0.019136
210924,0.019526,0.030882
1340,0.00217,0.003034
9912,0.003616,0.003142
34149,0.015368,0.030794
29075,0.055325,0.113187
6955,0.018261,0.014992
6461,0.018803,0.026776
53097,0.008317,0.013339
3585,0.108299,0.140515
39427,0.064907,0.091173
9471,0.006147,0.005587
20526,0.06798,0.127513
95338,0.012294,0.020671
6715,0.013741,0.007333
5171,0.066896,0.121508
13190,0.14934,0.162313
5013,0.000362,0.000768
31975,0.001085,0.000892
133277,0.030374,0.079729
6410,0.020069,0.034371
8664,0.011029,0.010769
178946,0.112095,0.220489
45282,0.027662,0.029681
46683,0.010667,0.014752
100267,0.051166,0.089606
23588,0.125294,0.166664
12751,0.030374,0.079517
176078,0.025493,0.03109
9167,0.003254,0.002566
40943,0.055505,0.085627
99178,0.018261,0.031855
218109,0.035075,0.033059
46724,0.107214,0.289964
42065,0.090038,0.177782
51115,0.118423,0.241437
1224,0.003254,0.005106
140196,0.02947,0.030659
151467,0.025854,0.035315
35523,0.07684,0.089023
8001,0.016091,0.024837
11154,0.199421,0.168031
1567,0.019707,0.015813
14387,0.011571,0.017677
97432,0.001446,0.001602
5370,0.036341,0.037082
171810,0.031821,0.038684
82039,0.061833,0.202183
8751,0.023323,0.051147
179883,0.000723,0.001272
38478,0.015006,0.028716
17161,0.000542,0.000389
47150,0.035798,0.031712
25887,0.009582,0.025315
8541,0.012114,0.018353
49964,0.013741,0.01692
218111,0.003254,0.004968
7867,0.013198,0.017752
8757,0.021696,0.051625
547,0.167058,0.418202
13355,0.14482,0.296543
22517,0.049901,0.034451
83899,0.007955,0.018526
84803,0.01573,0.016189
42009,0.005424,0.015538
14351,0.107575,0.182467
6714,0.055325,0.112289
37707,0.037245,0.036141
33049,0.057494,0.063094
5869,0.057313,0.095786
25875,0.105948,0.190484
105782,0.003074,0.003203
35474,0.043934,0.037008
29500,0.0725,0.231749
12025,0.022419,0.024766
54167,0.154402,0.229426
17895,0.164889,0.345819
31296,0.087145,0.208892
3734,0.002893,0.002289
13967,0.019526,0.030406
127,0.001627,0.001839
163080,0.021334,0.034154
13141,0.001989,0.003565
80461,0.027481,0.035105
7364,0.01591,0.017547
63670,0.011029,0.021634
209547,0.046285,0.07688
53783,0.192551,0.214646
154522,0.04755,0.051474
72381,0,0
17878,0.002531,0.002836
24433,0.000181,0.001136
9595,0.10179,0.168677
8089,0.013198,0.020222
8514,0.041403,0.078058
19264,0.048454,0.064915
2866,0.005605,0.004114
13971,0.064726,0.050305
97555,0.054782,0.056149
13102,0.017357,0.048386
87673,0.059302,0.081149
15906,0.007232,0.006043
12133,0.023142,0.056196
1436,0.023142,0.04301
16526,0,0
148107,0.129995,0.357933
129462,0.001989,0.003083
218113,0.021153,0.036898
10883,0.105044,0.201515
5282,0.058941,0.050814
50928,0.028385,0.0459
6922,0.004339,0.003401
1438,0.095643,0.139031
43688,0.045923,0.065915
15976,0.18333,0.139226
26839,0.013018,0.013839
13405,0.056952,0.081885
156587,0.109203,0.20174
176412,0.11083,0.132025
215323,0.01139,0.026382
1683,0.001627,0.001184
188615,0.008859,0.007662
53939,0.04303,0.05475
121716,0.006147,0.007651
63734,0.018984,0.030892
51287,0.014102,0.017181
50209,0.022057,0.054357
14579,0.030736,0.028947
76545,0.069427,0.223993
36563,0.050443,0.103919
14361,0.036521,0.129034
169645,0.00669,0.00549
15310,0.003978,0.009813
4411,0.015368,0.014483
51298,0.014826,0.0184
33696,0.049539,0.080609
92525,0.00235,0.003433
7173,0.056952,0.213707
105564,0.063641,0.094518
6951,0.048635,0.05962
39226,0.038149,0.075626
80346,0.118785,0.241028
1479,0.033086,0.026248
213238,0.019165,0.024173
72043,0.004339,0.004939
22187,0.138492,0.245334
22940,0.02495,0.034557
24564,0.005062,0.008204
129314,0.032544,0.105514
14569,0.046104,0.031693
15782,0.036521,0.038359
7074,0.041945,0.072514
47210,0.056771,0.132962
121715,0.065268,0.113982
176159,0.020611,0.064852
13330,0.001989,0.002693
6254,0.001808,0.000872
16517,0.001627,0.002528
11825,0.20141,0.297024
150145,0.01573,0.009668
12668,0.007232,0.009852
5812,0.011752,0.018903
149377,0.020973,0.050202
29238,0.042669,0.057326
87410,0.028024,0.048321
24989,0.029289,0.045207
25337,0.093473,0.129327
62125,0.02712,0.052339
142408,0.001446,0.004557
33278,0.003254,0.003745
152185,0.060749,0.067648
14051,0.013198,0.009547
172188,0.035256,0.042556
39235,0.014645,0.037976
2274,0.003797,0.007185
2176,0.020973,0.026929
1178,0.04068,0.055095
27394,0.027662,0.060399
19387,0.001627,0.00117
6669,0.030013,0.047144
22614,0.034894,0.025986
20449,0.141927,0.141127
12493,0.334298,0.57762
42407,0.021696,0.041941
176904,0.051889,0.268561
94574,0.021877,0.031784
3836,0.001627,0.001261
71839,0.050985,0.213793
13406,0.086422,0.149206
16041,0.019526,0.04853
14041,0.004339,0.008875
31108,0.011933,0.013139
26630,0.011029,0.018667
7432,0.010306,0.009068
15330,0.091665,0.123881
51147,0.084252,0.165909
33322,0.029289,0.054043
105777,0.046104,0.049114
7738,0.005424,0.004439
38716,0.019707,0.043705
8707,0.077563,0.352001
42857,0.002893,0.0026
210321,0.015549,0.032488
212338,0.033809,0.089321
22672,0.018803,0.022777
1501,0.127644,0.300891
54876,0.004339,0.007306
16077,0.000904,0.001398
22557,0.009582,0.01419
15537,0.001627,0.002353
142040,0.007051,0.016078
210044,0.025493,0.07021
127623,0.010306,0.018156
6298,0.086241,0.111333
45845,0.010848,0.010493
3184,0.017899,0.01862
1309,0.011029,0.012601
15826,0.00669,0.014401
132992,0.102152,0.124565
41555,0.054059,0.07495
76629,0.001627,0.002065
68632,0.02043,0.024059
50409,0.019888,0.030826
34465,0.012294,0.008063
20109,0.391973,0.313277
51221,0.005424,0.012364
13360,0.047369,0.085698
28753,0.002893,0.002747
2136,0.000542,0.001685
13505,0.053878,0.070651
646,0.029651,0.044024
43692,0.014283,0.02949
48083,0.016995,0.037602
12228,0.012837,0.030001
53173,0.019888,0.039066
15990,0.006147,0.007527
121830,0.014826,0.015712
179377,0.015549,0.009983
97112,0.038872,0.054175
26660,0.009944,0.009891
34599,0.015368,0.014087
7449,0.003254,0.004856
26277,0.014826,0.016156
183559,0.030555,0.032826
28766,0.002712,0.004126
210218,0.028385,0.083858
6680,0.027301,0.016651
18158,0.010848,0.02074
92174,0.017357,0.068286
130996,0.025854,0.025708
890,0.000904,0.001252
217078,0.01121,0.014038
68455,0.018803,0.040608
139727,0.021153,0.029455
31315,0.033267,0.03509
209269,0.140481,0.306163
26306,0.043573,0.068328
51124,0.144459,0.330882
89516,0.00217,0.00268
4141,0.15838,0.20225
13493,0.007232,0.015372
438,0.205026,0.330325
210301,0.008317,0.010544
128394,0.008136,0.015934
24339,0.001085,0.000734
28222,0.013198,0.016955
1731,0.011752,0.017917
167496,0.009402,0.015216
42254,0.088049,0.133416
26096,0.019526,0.036095
133159,0.027662,0.032049
27239,0.041222,0.051751
10989,0.040318,0.093896
171748,0.015368,0.018005
39774,0.044115,0.110982
30218,0.173386,0.157801
114759,0.016995,0.017597
15167,0.028566,0.034851
9938,0.01121,0.016745
97180,0.025131,0.030809
52978,0.007955,0.002401
70328,0.003435,0.003599
18938,0.018803,0.026181
26645,0.013018,0.019374
17723,0.109564,0.295794
122851,0.064726,0.147306
29467,0.004701,0.003769
78753,0.080094,0.115439
39726,0.136503,0.265965
12166,0.009221,0.012196
7865,0.015549,0.02312
27997,0.116254,0.226487
64385,0.016634,0.069835
23846,0.00235,0.001732
3779,0.000181,0.000945
129536,0.034352,0.0527
141767,0.043934,0.141559
599,0.069608,0.10523
137167,0.038329,0.038476
18936,0.001446,0.001853
7999,0.001627,0.000868
161190,0.039053,0.071484
194043,0.035437,0.059945
48822,0.027843,0.069769
779,0.070331,0.057157
209760,0.002893,0.00244
50663,0.088772,0.093429
4233,0.066896,0.138927
23072,0.044115,0.055974
2006,0.05424,0.055956
27795,0.014102,0.021747
42287,0.005062,0.004381
34107,0.005605,0.003915
17233,0.051347,0.06645
9876,0.049177,0.083371
16640,0.008317,0.007582
3129,0.011029,0.011694
102793,0.100344,0.093903
167657,0.015549,0.034081
12491,0.066534,0.086951
5121,0.02043,0.045672
4754,0.031459,0.027756
126956,0.019888,0.026293
173918,0.001808,0.004579
33663,0.056409,0.097352
8213,0.029651,0.036869
18031,0.020611,0.02737
27489,0.023504,0.045529
11479,0.024046,0.056678
113527,0.019526,0.038906
23417,0.001266,0.001587
8463,0.055325,0.052189
41200,0.159826,0.543769
48125,0.010125,0.027339
34040,0.005786,0.015025
42250,0.072681,0.139696
15978,0.000723,0.001755
54194,0.024227,0.054781
157215,0.082987,0.058281
85339,0.035256,0.060437
120561,0.034352,0.113241
7538,0.022057,0.036508
65161,0.103598,0.26511
14736,0.023504,0.031526
17854,0.367022,0.455265
22537,0.024408,0.054262
2231,0.009402,0.011938
23437,0.014102,0.014716
49802,0.097451,0.299373
19080,0.049177,0.048024
26908,0.056771,0.08247
24562,0.005424,0.008273
3813,0.009944,0.016817
605,0.007594,0.004409
581,0.00235,0.002297
15246,0.04972,0.088281
115428,0.066534,0.117076
84282,0.026216,0.037003
4392,0.000181,0.000942
14663,0.014102,0.032411
14881,0.127644,0.170474
104473,0.039053,0.060256
6849,0.008498,0.009848
22572,0.076478,0.129653
31627,0.016814,0.011887
214653,0.148074,0.18589
131816,0.074489,0.135449
32875,0.073947,0.095013
36361,0.007413,0.010659
53612,0.029832,0.056177
21221,0.007594,0.008334
147833,0.017718,0.031077
6701,0.000181,0.001282
11341,0.026939,0.031236
14799,0.012114,0.011148
9753,0.016453,0.011367
6409,0.00217,0.002086
138358,0.065449,0.065698
63738,0.010125,0.029653
24853,0.036521,0.083833
208813,0.021153,0.006739
9439,0.13343,0.146021
10503,0.041765,0.056057
44963,0.000362,0.001431
125814,0.051709,0.032217
13354,0.019346,0.012949
29332,0.051528,0.072913
48640,0.105767,0.216651
204661,0.018984,0.029076
6198,0.022238,0.027203
118275,0.049177,0.070186
103145,0.002893,0.00204
9051,0.011029,0.01562
30724,0.04068,0.129535
151178,0.025673,0.017901
44100,0.008317,0.012656
